QUARTO;GARAGENS;BANHEIROS;AREA;BAIRRO;PRECO
2;2;3;60 a 80m2;Federação;450K a 650K
2;1;1;13 a 60m2;Vila Laura;0 a 300K
1;1;1;13 a 60m2;Pituba;0 a 300K
4;3;4;163 a 4126m2;Pituba;1M a 88M
3;1;3;110 a 163m2;Vitória;650K a 1M
1;1;1;13 a 60m2;Ondina;0 a 300K
2;2;2;60 a 80m2;Itaigara;650K a 1M
3;2;3;110 a 163m2;Barra;650K a 1M
4;2;4;163 a 4126m2;Barra;1M a 88M
3;1;3;80 a 110m2;Imbuí;650K a 1M
4;4;5ou+;163 a 4126m2;Graça;1M a 88M
1;nan;1;13 a 60m2;Brotas;300K a 450K
2;1;2;60 a 80m2;Barra;650K a 1M
3;3;4;110 a 163m2;Patamares;1M a 88M
4;4;5ou+;163 a 4126m2;Rio Vermelho;1M a 88M
1;1;1;13 a 60m2;Caminho das Árvores;300K a 450K
2;1;3;60 a 80m2;Pituba;450K a 650K
1;1;1;13 a 60m2;Armação;0 a 300K
1;1;1;13 a 60m2;Barra;450K a 650K
3;1;3;110 a 163m2;Graça;650K a 1M
4;2;4;163 a 4126m2;Brotas;300K a 450K
3;5ou+;5ou+;163 a 4126m2;Horto Florestal;1M a 88M
2;1;2;13 a 60m2;Luiz Anselmo;300K a 450K
3;3;3;80 a 110m2;Stiep;450K a 650K
2;2;3;60 a 80m2;Ondina;650K a 1M
4;3;5ou+;110 a 163m2;Pituaçu;1M a 88M
3;1;1;60 a 80m2;Brotas;300K a 450K
5ou+;3;5ou+;163 a 4126m2;Pituba;650K a 1M
3;nan;1;80 a 110m2;Nazaré;0 a 300K
2;1;1;13 a 60m2;Areia Branca;0 a 300K
3;3;4;163 a 4126m2;Pituba;650K a 1M
1;1;1;13 a 60m2;Caminho das Árvores;300K a 450K
3;2;4;110 a 163m2;Pituba;650K a 1M
3;3;3;110 a 163m2;Garcia;650K a 1M
3;1;2;80 a 110m2;Vila Laura;450K a 650K
2;1;2;60 a 80m2;Stiep;300K a 450K
3;1;3;110 a 163m2;Itaigara;300K a 450K
1;1;1;13 a 60m2;Costa Azul;0 a 300K
4;5ou+;5ou+;163 a 4126m2;Itaigara;1M a 88M
4;4;5ou+;163 a 4126m2;Piatã;1M a 88M
3;1;3;110 a 163m2;Pituba;450K a 650K
3;2;3;80 a 110m2;Stiep;450K a 650K
3;1;2;60 a 80m2;Brotas;450K a 650K
3;2;3;110 a 163m2;Graça;450K a 650K
2;2;3;163 a 4126m2;Ondina;650K a 1M
2;1;2;60 a 80m2;Jaguaribe;450K a 650K
1;1;1;13 a 60m2;Caminho das Árvores;0 a 300K
3;2;4;80 a 110m2;Itaigara;450K a 650K
3;1;1;60 a 80m2;Federação;300K a 450K
3;2;3;80 a 110m2;Candeal;450K a 650K
3;2;3;163 a 4126m2;Pituba;650K a 1M
3;1;3;80 a 110m2;Pituba;450K a 650K
3;2;3;110 a 163m2;Itaigara;650K a 1M
3;2;4;110 a 163m2;Pituba;650K a 1M
3;1;2;80 a 110m2;Brotas;300K a 450K
3;1;2;80 a 110m2;Itaigara;450K a 650K
3;2;3;110 a 163m2;Itaigara;650K a 1M
4;4;5ou+;163 a 4126m2;Horto Florestal;1M a 88M
4;4;5ou+;163 a 4126m2;Horto Florestal;1M a 88M
3;nan;2;60 a 80m2;Cosme de Farias;0 a 300K
2;1;1;60 a 80m2;Armação;300K a 450K
2;2;2;60 a 80m2;Brotas;0 a 300K
3;1;2;60 a 80m2;Armação;300K a 450K
3;2;3;80 a 110m2;Armação;450K a 650K
3;2;3;110 a 163m2;Chame-Chame;450K a 650K
4;nan;1;80 a 110m2;Pernambués;0 a 300K
2;1;1;13 a 60m2;Piatã;0 a 300K
2;2;2;13 a 60m2;Cabula;450K a 650K
1;1;1;13 a 60m2;Costa Azul;0 a 300K
3;1;3;60 a 80m2;Costa Azul;300K a 450K
3;1;3;110 a 163m2;Graça;450K a 650K
3;1;3;110 a 163m2;Barra;450K a 650K
4;4;4;110 a 163m2;Caminho das Árvores;1M a 88M
3;1;3;110 a 163m2;Pituba;450K a 650K
4;2;4;163 a 4126m2;Caminho das Árvores;650K a 1M
1;1;1;13 a 60m2;Armação;0 a 300K
3;2;2;60 a 80m2;São Rafael;0 a 300K
2;1;2;13 a 60m2;Pituba;0 a 300K
4;5ou+;5ou+;163 a 4126m2;Vitória;1M a 88M
2;1;1;13 a 60m2;Santa Teresa;300K a 450K
4;4;5ou+;163 a 4126m2;Patamares;1M a 88M
5ou+;4;5ou+;163 a 4126m2;Patamares;1M a 88M
4;4;5ou+;163 a 4126m2;Rio Vermelho;1M a 88M
1;1;1;13 a 60m2;Armação;0 a 300K
3;1;3;110 a 163m2;Piatã;450K a 650K
3;1;3;110 a 163m2;Rio Vermelho;300K a 450K
4;4;5ou+;163 a 4126m2;Ondina;1M a 88M
4;3;3;163 a 4126m2;Canela;650K a 1M
4;2;5ou+;163 a 4126m2;Graça;1M a 88M
2;2;1;13 a 60m2;Horto Bela Vista;300K a 450K
2;nan;1;13 a 60m2;Brotas;300K a 450K
2;2;3;60 a 80m2;Pituba;450K a 650K
2;nan;2;80 a 110m2;Graça;450K a 650K
3;2;3;110 a 163m2;Costa Azul;300K a 450K
4;3;4;163 a 4126m2;Brotas;650K a 1M
2;3;2;60 a 80m2;Cabula;0 a 300K
3;2;3;80 a 110m2;Armação;0 a 300K
3;2;4;110 a 163m2;Pituba;650K a 1M
2;1;3;60 a 80m2;Pituba;300K a 450K
3;1;3;110 a 163m2;Pituba;450K a 650K
3;2;3;80 a 110m2;Candeal;450K a 650K
1;1;1;13 a 60m2;Caminho das Árvores;300K a 450K
3;nan;2;110 a 163m2;Brotas;300K a 450K
2;nan;2;60 a 80m2;Brotas;0 a 300K
4;3;5ou+;163 a 4126m2;Pituba;1M a 88M
3;4;1;163 a 4126m2;Caminho das Árvores;1M a 88M
1;1;1;60 a 80m2;Pituba;0 a 300K
4;nan;5ou+;163 a 4126m2;Patamares;1M a 88M
2;2;3;60 a 80m2;Caminho das Árvores;650K a 1M
4;3;5ou+;163 a 4126m2;Horto Florestal;1M a 88M
2;1;2;60 a 80m2;Alphaville I;650K a 1M
4;3;5ou+;163 a 4126m2;Caminho das Árvores;650K a 1M
1;1;1;13 a 60m2;Caminho das Árvores;450K a 650K
2;1;1;60 a 80m2;Tancredo Neves;0 a 300K
3;1;1;60 a 80m2;Imbuí;450K a 650K
2;1;3;80 a 110m2;Barra;300K a 450K
3;2;3;60 a 80m2;Imbuí;450K a 650K
3;1;2;80 a 110m2;Imbuí;650K a 1M
1;1;1;13 a 60m2;Dois de Julho;1M a 88M
1;1;1;13 a 60m2;Itapuã;0 a 300K
3;1;3;80 a 110m2;Pituba;300K a 450K
1;1;1;13 a 60m2;Rio Vermelho;300K a 450K
3;3;5ou+;110 a 163m2;Pituba;650K a 1M
2;1;1;13 a 60m2;Candeal;0 a 300K
4;3;5ou+;110 a 163m2;Horto Florestal;1M a 88M
2;nan;1;13 a 60m2;Uruguai;0 a 300K
3;1;3;80 a 110m2;Pituba;300K a 450K
1;1;1;13 a 60m2;Graça;450K a 650K
2;2;3;60 a 80m2;Itaigara;650K a 1M
4;1;3;80 a 110m2;Garcia;450K a 650K
3;3;5ou+;163 a 4126m2;Horto Florestal;1M a 88M
4;4;5ou+;163 a 4126m2;Graça;1M a 88M
2;2;4;80 a 110m2;Pituba;650K a 1M
3;2;2;110 a 163m2;Ondina;1M a 88M
4;3;5ou+;163 a 4126m2;Pituba;1M a 88M
2;1;2;60 a 80m2;Imbuí;300K a 450K
2;1;2;60 a 80m2;Pituba;450K a 650K
2;1;2;60 a 80m2;Santa Teresa;300K a 450K
3;3;5ou+;110 a 163m2;Engenho Velho da Federação;1M a 88M
2;nan;1;13 a 60m2;Matatu;0 a 300K
1;1;1;13 a 60m2;Barra;300K a 450K
3;2;2;80 a 110m2;Itaigara;650K a 1M
3;2;3;110 a 163m2;Pituba;1M a 88M
1;1;1;13 a 60m2;Caminho das Árvores;300K a 450K
3;2;3;80 a 110m2;Pituba;450K a 650K
2;1;2;60 a 80m2;Chame-Chame;300K a 450K
4;4;3;163 a 4126m2;Graça;1M a 88M
3;1;2;60 a 80m2;Piatã;300K a 450K
2;2;2;80 a 110m2;Ondina;650K a 1M
2;1;3;60 a 80m2;Armação;450K a 650K
4;3;4;163 a 4126m2;Graça;1M a 88M
2;1;1;13 a 60m2;Pernambués;0 a 300K
4;5ou+;5ou+;163 a 4126m2;Horto Florestal;1M a 88M
1;1;1;13 a 60m2;Caminho das Árvores;300K a 450K
1;nan;1;13 a 60m2;Vila Canária;0 a 300K
2;1;1;60 a 80m2;São Cristóvão;0 a 300K
4;4;5ou+;163 a 4126m2;Barra;1M a 88M
3;1;3;80 a 110m2;Candeal;300K a 450K
2;nan;3;80 a 110m2;Pituba;450K a 650K
2;1;2;60 a 80m2;Amaralina;0 a 300K
4;2;4;110 a 163m2;Pituba;450K a 650K
4;2;4;110 a 163m2;Pituba;650K a 1M
2;2;4;110 a 163m2;Pituba;1M a 88M
3;3;4;110 a 163m2;Horto Bela Vista;1M a 88M
3;1;3;60 a 80m2;Imbuí;300K a 450K
3;1;3;80 a 110m2;Pituba;450K a 650K
1;1;1;13 a 60m2;Caminho das Árvores;300K a 450K
2;2;2;80 a 110m2;Rio Vermelho;450K a 650K
1;1;1;60 a 80m2;Armação;450K a 650K
3;1;3;110 a 163m2;Campo Grande;450K a 650K
3;3;3;110 a 163m2;Caminho das Árvores;650K a 1M
3;nan;2;80 a 110m2;Costa Azul;650K a 1M
3;3;3;110 a 163m2;Horto Florestal;1M a 88M
2;3;3;80 a 110m2;Candeal;450K a 650K
3;nan;2;110 a 163m2;Matatu;0 a 300K
3;1;2;80 a 110m2;Imbuí;300K a 450K
2;2;3;80 a 110m2;Patamares;650K a 1M
3;1;3;80 a 110m2;Imbuí;450K a 650K
4;3;5ou+;163 a 4126m2;Patamares;1M a 88M
1;1;1;13 a 60m2;Pituba;300K a 450K
3;nan;2;60 a 80m2;Brotas;0 a 300K
1;1;1;13 a 60m2;Caminho das Árvores;300K a 450K
2;1;1;13 a 60m2;Jardim Placaford;0 a 300K
4;4;5ou+;163 a 4126m2;Pituba;1M a 88M
3;2;3;80 a 110m2;Caminho das Árvores;650K a 1M
3;2;3;110 a 163m2;Pituba;450K a 650K
3;1;3;110 a 163m2;Graça;450K a 650K
3;2;3;80 a 110m2;Pituba;450K a 650K
2;1;1;13 a 60m2;Costa Azul;0 a 300K
4;3;3;163 a 4126m2;Ondina;1M a 88M
2;1;2;13 a 60m2;Amaralina;0 a 300K
2;1;1;60 a 80m2;Vila Laura;450K a 650K
3;nan;2;60 a 80m2;Pituba;450K a 650K
1;1;1;13 a 60m2;Vitória;300K a 450K
2;1;2;13 a 60m2;Brotas;300K a 450K
1;1;1;13 a 60m2;Piatã;300K a 450K
3;1;3;80 a 110m2;Caminho das Árvores;650K a 1M
2;2;4;80 a 110m2;Stella Maris;450K a 650K
3;2;3;60 a 80m2;Pituba;450K a 650K
3;2;3;60 a 80m2;Armação;450K a 650K
3;2;4;110 a 163m2;Paralela;1M a 88M
3;3;4;163 a 4126m2;Armação;1M a 88M
4;2;3;110 a 163m2;Graça;650K a 1M
4;2;3;110 a 163m2;Vitória;1M a 88M
1;1;1;13 a 60m2;Barra;450K a 650K
4;3;5ou+;163 a 4126m2;Pituaçu;1M a 88M
2;2;2;80 a 110m2;Costa Azul;650K a 1M
2;nan;1;80 a 110m2;Acupe de Brotas;0 a 300K
4;nan;5ou+;163 a 4126m2;Piatã;1M a 88M
2;1;1;13 a 60m2;Graça;300K a 450K
4;2;5ou+;163 a 4126m2;Graça;650K a 1M
2;nan;2;110 a 163m2;Vila Ruy Barbosa;0 a 300K
3;2;3;80 a 110m2;Vila Laura;450K a 650K
3;3;4;110 a 163m2;Pituba;650K a 1M
3;2;3;80 a 110m2;Pituba;450K a 650K
3;2;3;110 a 163m2;Pituba;300K a 450K
4;2;3;80 a 110m2;Imbuí;300K a 450K
2;2;3;80 a 110m2;Horto Florestal;650K a 1M
1;1;1;13 a 60m2;Acupe de Brotas;0 a 300K
4;2;5ou+;110 a 163m2;Armação;650K a 1M
3;1;2;60 a 80m2;Jardim das Margaridas;0 a 300K
1;1;1;13 a 60m2;Pituaçu;0 a 300K
3;2;5ou+;80 a 110m2;Caminho das Árvores;650K a 1M
4;3;5ou+;163 a 4126m2;Barra;1M a 88M
3;1;3;163 a 4126m2;Barra;650K a 1M
3;1;2;80 a 110m2;Narandiba;0 a 300K
2;1;2;60 a 80m2;Caminho das Árvores;450K a 650K
3;1;4;110 a 163m2;Costa Azul;450K a 650K
3;3;5ou+;163 a 4126m2;Jaguaribe;1M a 88M
4;2;2;110 a 163m2;Graça;450K a 650K
2;1;2;80 a 110m2;Pituba;450K a 650K
2;2;1;13 a 60m2;Barreiras;0 a 300K
2;1;1;13 a 60m2;Itapuã;300K a 450K
3;3;5ou+;163 a 4126m2;Barra;1M a 88M
2;1;2;13 a 60m2;Pernambués;0 a 300K
3;2;3;110 a 163m2;Caminho das Árvores;650K a 1M
2;1;2;13 a 60m2;Saboeiro;0 a 300K
4;nan;5ou+;163 a 4126m2;Graça;1M a 88M
2;1;1;13 a 60m2;Cabula;0 a 300K
3;1;3;110 a 163m2;Rio Vermelho;650K a 1M
4;4;5ou+;163 a 4126m2;Barra;1M a 88M
2;1;1;13 a 60m2;Jardim Nova Esperança;0 a 300K
4;3;5ou+;110 a 163m2;Pituaçu;1M a 88M
2;1;3;80 a 110m2;Rio Vermelho;300K a 450K
3;1;3;60 a 80m2;Imbuí;450K a 650K
4;4;5ou+;163 a 4126m2;Pituba;1M a 88M
1;1;1;13 a 60m2;Itapuã;0 a 300K
4;3;4;163 a 4126m2;Caminho das Árvores;650K a 1M
2;1;1;13 a 60m2;Imbuí;0 a 300K
2;1;3;60 a 80m2;Federação;0 a 300K
3;nan;1;60 a 80m2;Barbalho;0 a 300K
1;1;2;60 a 80m2;Ondina;650K a 1M
2;2;3;80 a 110m2;Pituba;450K a 650K
3;2;3;110 a 163m2;Pituba;450K a 650K
3;3;5ou+;163 a 4126m2;Itaigara;1M a 88M
3;1;2;110 a 163m2;Barra;450K a 650K
1;2;1;110 a 163m2;Ondina;650K a 1M
1;1;2;13 a 60m2;Pituba;300K a 450K
3;2;3;80 a 110m2;Pituba;450K a 650K
2;2;2;80 a 110m2;Amaralina;300K a 450K
2;1;1;60 a 80m2;Chame-Chame;300K a 450K
2;1;1;60 a 80m2;Pituaçu;300K a 450K
4;3;5ou+;163 a 4126m2;Pituba;1M a 88M
3;5ou+;5ou+;163 a 4126m2;Rio Vermelho;1M a 88M
3;2;4;110 a 163m2;Patamares;1M a 88M
2;2;4;80 a 110m2;Jardim Apipema;650K a 1M
3;4;4;110 a 163m2;Patamares;1M a 88M
1;1;1;13 a 60m2;Armação;450K a 650K
1;nan;1;13 a 60m2;Armação;0 a 300K
3;3;4;163 a 4126m2;Horto Florestal;1M a 88M
1;1;1;13 a 60m2;Rio Vermelho;0 a 300K
3;2;2;80 a 110m2;Horto Florestal;1M a 88M
2;2;1;13 a 60m2;Arraial do Retiro;0 a 300K
3;1;2;110 a 163m2;Pituba;450K a 650K
4;1;1;163 a 4126m2;Piatã;1M a 88M
3;1;3;110 a 163m2;Barra;300K a 450K
4;2;4;163 a 4126m2;Barra;650K a 1M
4;1;3;163 a 4126m2;Barbalho;650K a 1M
3;1;3;60 a 80m2;Matatu;300K a 450K
2;1;2;13 a 60m2;Saboeiro;300K a 450K
3;1;2;80 a 110m2;Imbuí;300K a 450K
4;3;3;163 a 4126m2;Pituba;650K a 1M
4;3;5ou+;110 a 163m2;Pituba;650K a 1M
3;2;3;163 a 4126m2;Graça;650K a 1M
3;2;3;80 a 110m2;Caminho das Árvores;450K a 650K
1;1;1;60 a 80m2;Rio Vermelho;650K a 1M
4;4;5ou+;163 a 4126m2;Graça;1M a 88M
5ou+;5ou+;5ou+;163 a 4126m2;Horto Florestal;1M a 88M
4;3;5ou+;163 a 4126m2;Vitória;1M a 88M
1;1;1;13 a 60m2;Caminho das Árvores;300K a 450K
2;1;1;60 a 80m2;Patamares;300K a 450K
3;2;3;80 a 110m2;Armação;650K a 1M
1;1;2;60 a 80m2;Rio Vermelho;450K a 650K
2;2;2;60 a 80m2;Vila Laura;300K a 450K
1;1;1;13 a 60m2;Rio Vermelho;300K a 450K
1;1;1;13 a 60m2;Pituba;0 a 300K
3;3;5ou+;163 a 4126m2;Itaigara;1M a 88M
2;1;2;60 a 80m2;Armação;450K a 650K
1;1;1;13 a 60m2;Pituba;0 a 300K
5ou+;5ou+;5ou+;163 a 4126m2;Rio Vermelho;1M a 88M
5ou+;5ou+;5ou+;163 a 4126m2;Caminho das Árvores;1M a 88M
3;nan;3;60 a 80m2;Rio Vermelho;0 a 300K
3;2;3;80 a 110m2;Candeal;450K a 650K
4;4;4;163 a 4126m2;Rio Vermelho;1M a 88M
3;1;1;60 a 80m2;Cabula;0 a 300K
3;2;3;110 a 163m2;Pituaçu;650K a 1M
3;2;3;110 a 163m2;Paralela;450K a 650K
1;nan;1;13 a 60m2;Dois de Julho;0 a 300K
2;2;1;60 a 80m2;Armação;450K a 650K
3;1;2;60 a 80m2;Brotas;300K a 450K
3;2;2;80 a 110m2;Vila Laura;450K a 650K
2;1;2;60 a 80m2;Boca do Rio;300K a 450K
3;nan;5ou+;163 a 4126m2;Patamares;1M a 88M
2;2;3;60 a 80m2;Caminho das Árvores;450K a 650K
2;1;2;60 a 80m2;Armação;300K a 450K
1;1;1;13 a 60m2;Barra;450K a 650K
2;1;1;13 a 60m2;Piatã;0 a 300K
3;2;3;110 a 163m2;Jardim Apipema;650K a 1M
3;2;3;80 a 110m2;Caminho das Árvores;650K a 1M
3;3;5ou+;163 a 4126m2;Itaigara;1M a 88M
3;1;2;80 a 110m2;Dois de Julho;0 a 300K
2;1;3;60 a 80m2;Costa Azul;300K a 450K
4;3;2;163 a 4126m2;Caminho das Árvores;650K a 1M
3;2;2;80 a 110m2;Pituba;300K a 450K
3;1;3;60 a 80m2;Pituba;300K a 450K
3;2;3;80 a 110m2;Pituba;450K a 650K
3;1;2;60 a 80m2;Brotas;300K a 450K
4;3;4;163 a 4126m2;Candeal;1M a 88M
2;1;2;60 a 80m2;Piatã;450K a 650K
3;3;5ou+;163 a 4126m2;Barra;1M a 88M
4;2;3;163 a 4126m2;Pituba;1M a 88M
3;3;2;110 a 163m2;Caminho das Árvores;650K a 1M
3;1;3;80 a 110m2;Candeal;300K a 450K
3;1;3;110 a 163m2;Pituba;450K a 650K
3;3;5ou+;110 a 163m2;Brotas;1M a 88M
4;4;5ou+;163 a 4126m2;Horto Florestal;1M a 88M
3;1;1;110 a 163m2;Armação;300K a 450K
2;nan;2;13 a 60m2;Patamares;300K a 450K
2;1;1;13 a 60m2;Nova Brasília;0 a 300K
3;2;4;80 a 110m2;Pituba;450K a 650K
2;1;1;13 a 60m2;Brotas;0 a 300K
2;nan;1;13 a 60m2;Caminho de Areia;0 a 300K
3;3;5ou+;110 a 163m2;Horto Bela Vista;1M a 88M
3;2;3;110 a 163m2;Patamares;1M a 88M
3;nan;2;110 a 163m2;Piatã;450K a 650K
2;1;3;60 a 80m2;Horto Florestal;300K a 450K
3;1;2;80 a 110m2;Piatã;300K a 450K
2;1;2;60 a 80m2;Costa Azul;300K a 450K
2;nan;1;60 a 80m2;Costa Azul;0 a 300K
3;3;4;163 a 4126m2;Ondina;1M a 88M
2;1;2;60 a 80m2;Imbuí;300K a 450K
3;2;3;60 a 80m2;Candeal;450K a 650K
4;5ou+;5ou+;163 a 4126m2;Candeal;1M a 88M
3;2;2;80 a 110m2;Pituba;300K a 450K
4;3;4;110 a 163m2;Stella Maris;650K a 1M
4;4;4;163 a 4126m2;Brotas;1M a 88M
4;5ou+;4;163 a 4126m2;Horto Florestal;1M a 88M
4;3;5ou+;163 a 4126m2;Barra;1M a 88M
2;2;2;60 a 80m2;Canela;650K a 1M
3;2;5ou+;110 a 163m2;Horto Florestal;650K a 1M
1;1;1;13 a 60m2;Jaguaribe;300K a 450K
1;2;2;80 a 110m2;Barra;1M a 88M
2;2;3;110 a 163m2;Patamares;1M a 88M
2;1;2;60 a 80m2;Acupe de Brotas;0 a 300K
2;2;1;13 a 60m2;São Marcos;0 a 300K
4;3;5ou+;163 a 4126m2;Candeal;650K a 1M
3;2;3;80 a 110m2;Pituba;450K a 650K
2;2;3;60 a 80m2;Pituba;450K a 650K
4;2;4;110 a 163m2;Armação;650K a 1M
4;4;5ou+;163 a 4126m2;Campo Grande;1M a 88M
3;2;4;80 a 110m2;Armação;650K a 1M
3;3;4;163 a 4126m2;Armação;1M a 88M
3;2;2;60 a 80m2;Cabula VI;0 a 300K
3;2;2;80 a 110m2;Stiep;450K a 650K
2;nan;1;13 a 60m2;Dois de Julho;0 a 300K
3;2;3;80 a 110m2;Horto Bela Vista;650K a 1M
2;2;3;80 a 110m2;Barra;650K a 1M
4;4;5ou+;163 a 4126m2;Horto Florestal;1M a 88M
3;2;2;60 a 80m2;Brotas;0 a 300K
4;2;3;110 a 163m2;Pituba;650K a 1M
3;2;3;80 a 110m2;Pituba;450K a 650K
3;1;2;60 a 80m2;Stiep;300K a 450K
4;2;3;163 a 4126m2;Campo Grande;650K a 1M
2;2;1;13 a 60m2;Politeama;0 a 300K
2;2;2;13 a 60m2;Pernambués;300K a 450K
1;1;2;60 a 80m2;Nazaré;0 a 300K
4;3;5ou+;163 a 4126m2;Pituba;1M a 88M
3;nan;2;110 a 163m2;Pituba;450K a 650K
4;4;5ou+;163 a 4126m2;Horto Florestal;1M a 88M
2;1;2;60 a 80m2;Matatu;300K a 450K
2;nan;1;13 a 60m2;Saboeiro;0 a 300K
4;3;4;163 a 4126m2;Jardim Apipema;1M a 88M
4;5ou+;5ou+;110 a 163m2;Graça;1M a 88M
4;2;3;110 a 163m2;Pituba;650K a 1M
3;2;4;110 a 163m2;Pituba;650K a 1M
3;2;3;163 a 4126m2;Vitória;1M a 88M
4;1;3;80 a 110m2;Costa Azul;300K a 450K
3;1;2;13 a 60m2;Trobogy;0 a 300K
2;nan;2;13 a 60m2;Federação;0 a 300K
4;2;3;110 a 163m2;Pituba;450K a 650K
3;2;2;60 a 80m2;Piatã;300K a 450K
2;2;3;80 a 110m2;Ondina;650K a 1M
3;2;3;80 a 110m2;Barra;450K a 650K
2;nan;1;13 a 60m2;Cabula;0 a 300K
2;nan;1;13 a 60m2;Cabula;0 a 300K
3;2;2;80 a 110m2;Alphaville I;650K a 1M
3;1;2;60 a 80m2;Brotas;0 a 300K
4;3;5ou+;163 a 4126m2;Vitória;1M a 88M
1;1;1;13 a 60m2;Alphaville I;300K a 450K
1;1;2;13 a 60m2;Pituaçu;300K a 450K
2;1;2;13 a 60m2;Itapuã;0 a 300K
3;1;3;110 a 163m2;Canela;450K a 650K
4;2;3;163 a 4126m2;Pituba;450K a 650K
2;1;2;13 a 60m2;Patamares;300K a 450K
4;2;4;163 a 4126m2;Graça;1M a 88M
3;2;3;110 a 163m2;Pituba;650K a 1M
3;1;3;80 a 110m2;Barra;300K a 450K
3;3;4;110 a 163m2;Candeal;650K a 1M
1;1;1;13 a 60m2;Barbalho;1M a 88M
3;nan;4;80 a 110m2;Barris;300K a 450K
2;nan;1;13 a 60m2;Imbuí;0 a 300K
2;nan;1;13 a 60m2;São Marcos;0 a 300K
2;nan;1;60 a 80m2;Acupe de Brotas;0 a 300K
4;3;4;163 a 4126m2;Graça;1M a 88M
2;1;1;13 a 60m2;Sussuarana;0 a 300K
2;1;2;60 a 80m2;Pituba;300K a 450K
3;2;2;80 a 110m2;Pituba;450K a 650K
3;1;3;110 a 163m2;Itaigara;450K a 650K
1;1;1;13 a 60m2;Paralela;450K a 650K
2;2;4;163 a 4126m2;Pituba;650K a 1M
1;1;1;13 a 60m2;Caminho das Árvores;300K a 450K
3;1;3;110 a 163m2;Jardim Apipema;650K a 1M
1;1;1;13 a 60m2;Barra;450K a 650K
3;nan;2;80 a 110m2;Pituba;300K a 450K
3;4;5ou+;163 a 4126m2;Barra;650K a 1M
3;2;4;110 a 163m2;Patamares;650K a 1M
3;2;1;60 a 80m2;Brotas;450K a 650K
1;1;1;13 a 60m2;Barra;450K a 650K
2;2;1;80 a 110m2;Pituba;450K a 650K
4;4;5ou+;163 a 4126m2;Pituaçu;1M a 88M
3;2;1;110 a 163m2;Horto Bela Vista;650K a 1M
3;1;2;60 a 80m2;Cabula;0 a 300K
3;2;3;110 a 163m2;Itaigara;650K a 1M
3;1;3;80 a 110m2;Costa Azul;450K a 650K
4;4;5ou+;163 a 4126m2;Rio Vermelho;1M a 88M
4;4;5ou+;163 a 4126m2;Candeal;1M a 88M
2;1;2;60 a 80m2;Pituba;300K a 450K
2;nan;1;13 a 60m2;Tancredo Neves;0 a 300K
3;nan;1;60 a 80m2;Patamares;450K a 650K
2;nan;1;13 a 60m2;Saboeiro;300K a 450K
4;nan;1;163 a 4126m2;Horto Florestal;1M a 88M
3;1;2;80 a 110m2;Pituba;300K a 450K
4;4;5ou+;163 a 4126m2;Rio Vermelho;1M a 88M
4;2;5ou+;110 a 163m2;Caminho das Árvores;1M a 88M
4;4;5ou+;163 a 4126m2;Graça;1M a 88M
4;2;3;80 a 110m2;Stiep;450K a 650K
3;1;2;80 a 110m2;Stiep;450K a 650K
2;1;2;80 a 110m2;Armação;450K a 650K
3;2;3;110 a 163m2;Costa Azul;300K a 450K
2;1;3;60 a 80m2;Matatu;0 a 300K
2;1;2;13 a 60m2;Cabula;300K a 450K
3;2;4;110 a 163m2;Pituba;650K a 1M
3;2;4;110 a 163m2;Pituba;650K a 1M
4;4;5ou+;163 a 4126m2;Horto Florestal;1M a 88M
2;2;2;13 a 60m2;Parque Bela Vista;300K a 450K
1;1;1;13 a 60m2;Pituba;300K a 450K
2;1;2;13 a 60m2;Vale dos Lagos;0 a 300K
2;2;1;13 a 60m2;Jardim das Margaridas;0 a 300K
2;1;1;13 a 60m2;Luiz Anselmo;0 a 300K
4;4;5ou+;163 a 4126m2;Pituaçu;1M a 88M
4;4;4;163 a 4126m2;Graça;1M a 88M
2;1;2;13 a 60m2;Luiz Anselmo;300K a 450K
3;1;3;60 a 80m2;Imbuí;300K a 450K
4;3;5ou+;163 a 4126m2;Patamares;1M a 88M
2;2;2;60 a 80m2;Matatu;300K a 450K
2;2;2;80 a 110m2;Caminho das Árvores;650K a 1M
1;nan;1;13 a 60m2;Barra;0 a 300K
3;2;3;80 a 110m2;Costa Azul;450K a 650K
3;3;5ou+;110 a 163m2;Patamares;1M a 88M
3;1;3;60 a 80m2;Costa Azul;300K a 450K
4;3;5ou+;110 a 163m2;Caminho das Árvores;1M a 88M
2;3;2;80 a 110m2;Patamares;450K a 650K
2;1;1;13 a 60m2;Jardim das Margaridas;0 a 300K
3;2;3;60 a 80m2;Armação;450K a 650K
3;2;3;80 a 110m2;Costa Azul;650K a 1M
3;3;3;80 a 110m2;Pituba;650K a 1M
2;1;2;13 a 60m2;Patamares;300K a 450K
3;1;2;110 a 163m2;Graça;450K a 650K
2;3;1;60 a 80m2;São Cristóvão;0 a 300K
4;2;4;110 a 163m2;Patamares;1M a 88M
4;4;5ou+;163 a 4126m2;Barra;1M a 88M
2;1;2;13 a 60m2;Itaigara;300K a 450K
2;1;2;60 a 80m2;Itapuã;300K a 450K
3;1;3;80 a 110m2;Stiep;450K a 650K
3;1;2;60 a 80m2;Paralela;450K a 650K
2;2;1;80 a 110m2;Pituba;650K a 1M
3;1;1;80 a 110m2;Piatã;300K a 450K
2;nan;2;80 a 110m2;Monte Serrat;0 a 300K
